"","stage","strain","treat","Tray","day","co2_hourly","mass","co2massmin"
"688","L","BE","1","12,23 0208",27,0.982343884261284,0.0653,0.250725851011048
"689","L","BE","1","12,23 0208",27,0.504511948256269,0.0739,0.113782577414585
"690","L","BE","1","12,23 0208",27,0.600426957279858,0.0624,0.160370447991415
"691","L","BE","1","12,23 0208",27,0.377273176245542,0.0689,0.0912610489224823
"692","L","BE","1","12,23 0208",27,0.46093801717408,0.0762,0.100817589058198
"693","L","BE","1","12,23 0208",27,0.654885073981133,0.0733,0.148905200996165
"694","L","BE","1","12,23 0208",27,1.3141031322806,0.0721,0.30376863899228
"695","L","BE","1","12,23 0208",32,1.04400079787233,0.0636,0.273585114746418
"696","L","BE","1","12,23 0208",32,0.820115833516838,0.0581,0.235259848972128
"697","L","BE","1","12,23 0208",30,0.516011544502612,0.0637,0.135010869833232
"698","L","BE","1","12,23 0208",30,2.00428515624998,0.0752,0.444212135693701
"699","L","BE","1","12,23 0208",30,0.689843557814478,0.0626,0.183664419013439
"700","L","BE","1","12,23 0208",30,0.96320117869921,0.0702,0.228680241856413
"701","L","BE","1","12,23 0208",30,1.23139557041369,0.0587,0.349629633848294
"702","L","BE","1","12,23 0208",30,1.24045212699729,0.0652,0.317088989518734
"703","L","BE","1","12,23 0208",30,1.04142008661578,0.0761,0.22808149071743
"704","L","BE","1","12,23 0208",30,0.779099877099539,0.073,0.177876684269301
"705","L","BE","1","12,23 0208",36,1.06211917808218,0.0598,0.296019837815545
"706","L","BE","1","12,23 0208",36,0.992599399773485,0.0557,0.297007600171599
"707","L","BE","1","12,23 0208",34,0.447722292134826,0.063,0.118445050829319
"708","L","BE","1","12,23 0208",34,0.89905572783044,0.0611,0.24524160606395
"709","L","BE","1","12,23 0208",34,0.811428239202646,0.0575,0.235196591073231
"710","L","BE","1","12,23 0208",34,1.64183551401867,0.066,0.414604927782492
"711","L","BE","1","12,23 0208",34,0.0903813535830922,0.071,0.0212162801838245
"712","L","BE","1","12,23 0208",39,1.02568496824276,0.0585,0.292217939670301
"713","L","BE","1","12,23 0208",39,0.937368504672889,0.0531,0.294214847668829
"714","L","BE","1","12,23 0208",37,0.416028604597163,0.0631,0.109886055096979
"715","L","BE","1","12,23 0208",37,0.687157754677747,0.0591,0.193783912768682
"716","L","BE","1","12,23 0208",37,0.643413039283245,0.0547,0.196042973578076
"717","L","BE","1","12,23 0208",37,1.06880621146379,0.0639,0.278770529854927
"718","L","BE","1","12,23 0208",37,0.0411537361740702,0.0724,0.00947369617266809
"719","L","BE","1","12,23 0208",43,1.59482735452908,0.0567,0.468791109502963
"720","L","BE","1","12,23 0208",43,1.0435023634558,0.0539,0.322666160623315
"721","L","BE","1","12,23 0208",41,0.457985305961306,0.0613,0.124520202817103
"722","L","BE","1","12,23 0208",41,1.18214531894013,0.06,0.328373699705591
"723","L","BE","1","12,23 0208",41,0.575594859594378,0.0561,0.171002632083891
"724","L","BE","1","12,23 0208",41,0.777546340531236,0.0642,0.201855228590664
"725","L","BE","1","12,23 0208",41,0.0939922980421963,0.069,0.0227034536333808
